"Name,Birth,Death,Language,Region,Province,Latitude,Longitude,Sufi_Order,Famous_Work,Description"
"Bulleh Shah,1680,1757,Punjabi,Kasur,Punjab,31.1150,74.4500,Qadiri,Kafi Poetry,Renowned Punjabi Sufi poet known for spiritual poetry"
"Shah Abdul Latif Bhittai,1689,1752,Sindhi,Bhit Shah,Sindh,25.8050,68.4900,Qadiri,Shah Jo Risalo,Great Sindhi Sufi poet and mystic"
"Sultan Bahoo,1630,1691,Punjabi,Jhang,Punjab,31.2700,72.3200,Qadiri,Abyat-e-Bahoo,Major Punjabi Sufi poet and saint"
"Sachal Sarmast,1739,1829,Sindhi,Daraza,Sindh,27.9000,68.3000,Qadiri,Sachal Jo Kalam,Sindhi mystic poet known for multilingual poetry"
"Rehman Baba,1653,1711,Pashto,Peshawar,Khyber Pakhtunkhwa,34.0151,71.5249,Qadiri,Diwan-e-Rehman,Famous Pashto Sufi poet"
"Khwaja Ghulam Farid,1845,1901,Saraiki,Chachran Sharif,Southern Punjab,28.7600,70.3000,Chishti,Diwan-e-Farid,Great Saraiki Sufi poet"
"Mian Muhammad Bakhsh,1830,1907,Pahari-Punjabi,Mirpur,Azad Kashmir,33.1500,73.7500,Qadiri,Saif ul Malook,Famous mystic poet"
"Lal Shahbaz Qalandar,1177,1274,Sindhi,Sehwan,Sindh,26.4240,67.8610,Qalandari,Poetry and Teachings,One of the most famous Sufi saints of South Asia"
"Shah Inayat Shaheed,1655,1718,Sindhi,Jhok Sharif,Sindh,24.6000,68.2000,Sufi,Sindhi Poetry,Sindhi revolutionary Sufi saint"
"Mast Tawakali,1825,1931,Balochi,Balochistan,Balochistan,28.5000,65.1000,Balochi Mysticism,Balochi Poetry,Important Balochi Sufi poet"
